Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
SGDRegressor,1.735187727904802e+20,-3.928007384048233e+21,596815567833.2607,0.12055015563964844
Lars,6588560526.281533,-149147633868.01053,3677580.4269998344,0.21104145050048828
KernelRidge,2.0529862770727814,-22.83683220626296,46.492003843747334,0.07070565223693848
GaussianProcessRegressor,1.958215823814685,-20.691479088552207,44.350505947466075,0.2361435890197754
PassiveAggressiveRegressor,1.1149442370353861,-1.6020343768450038,15.360682422053026,0.13175249099731445
OrthogonalMatchingPursuit,1.0532005876158108,-0.20432099437989448,10.450212554948978,0.10452604293823242
DecisionTreeRegressor,1.0522370220688204,-0.1825084116678033,10.355143334510675,0.41579461097717285
QuantileRegressor,1.0461159667125797,-0.04394386184521104,9.729545825096134,1.9026191234588623
DummyRegressor,1.0457696834766228,-0.036104922657614225,9.692947576445276,0.051705360412597656
ExtraTreeRegressor,1.0450040178175986,-0.01877227147530558,9.611530609230453,0.13233137130737305
KNeighborsRegressor,1.0423091860101046,0.04223161339763071,9.31932042680105,0.05724167823791504
LarsCV,1.0419814667781866,0.04965031249379792,9.283157385126238,8.77184510231018
Lasso,1.041106318712701,0.069461356613581,9.1858891850403,0.21744680404663086
LassoLars,1.0410986942216578,0.06963395498225378,9.185037235996953,0.0720977783203125
SVR,1.0410823813721533,0.07000323487213744,9.183214197529255,0.14097332954406738
NuSVR,1.040691057184482,0.07886178241722097,9.139372867897258,0.10801339149475098
LinearRegression,1.0391403014784086,0.11396680169756357,8.963528271651775,0.14599061012268066
TransformedTargetRegressor,1.0391403014784086,0.11396680169756357,8.963528271651775,0.15097594261169434
ElasticNet,1.0382052224156375,0.13513452553611938,8.855809699849496,0.12849998474121094
BaggingRegressor,1.0370458026401628,0.16138073144247167,8.72040015037204,4.140202283859253
GradientBoostingRegressor,1.0319431988063208,0.276890224823947,8.09759611469479,23.319185256958008
XGBRegressor,1.0304389958849531,0.31094141183512447,7.904639538298598,9.624995231628418
HistGradientBoostingRegressor,1.0302464033212395,0.3153011995411712,7.879592875665539,11.357666254043579
AdaBoostRegressor,1.029114174485593,0.34093187428218263,7.730705863146006,4.206125259399414
RandomForestRegressor,1.028843618123933,0.3470565567549204,7.694701517164964,40.412827253341675
TweedieRegressor,1.0279398641165591,0.36751516395481276,7.573193512449885,0.0919034481048584
GammaRegressor,1.0272660909334093,0.3827676118371075,7.481322023246018,0.09352827072143555
ExtraTreesRegressor,1.0268793546946569,0.3915223003187547,7.42807582754663,8.51500153541565
OrthogonalMatchingPursuitCV,1.0268124001692278,0.39303797419110864,7.418818659816914,0.3263072967529297
LGBMRegressor,1.026607857389677,0.3976682832666498,7.390466648604444,1.4739866256713867
HuberRegressor,1.0256504982581616,0.41934036910095784,7.256293025531478,0.5730588436126709
LassoCV,1.0255223195039784,0.4222419980418052,7.23814001612855,66.9461030960083
BayesianRidge,1.0253586376195936,0.42594732421579184,7.214892559110154,0.2607388496398926
LinearSVR,1.0236349625940595,0.464966780837775,6.965372854141328,1.1404612064361572
PoissonRegressor,1.0235014870047052,0.46798831615722036,6.945676957334574,0.09787368774414062
ElasticNetCV,1.023457381513391,0.46898674815840213,6.939156383578184,67.56309223175049
MLPRegressor,1.021857214334502,0.5052103128673193,6.69829568597907,4.418645620346069
LassoLarsCV,1.0170552877865067,0.6139132654922665,5.916930053926557,8.229053974151611
Ridge,1.0158649654900525,0.6408590229724371,5.706718828123899,0.07533884048461914
RidgeCV,1.0157877917063303,0.6426060339006575,5.692821981808723,0.09994673728942871
